action,startend,xmin,xmax
1.788834529722729e-18,6.482260970113182e-20,0.0,0.01
2.7116905742363964e-18,1.5277633758775666e-12,0.01,0.02
7.066271256754242e-24,6.75680858699976e-27,0.02,0.03
7.325634692376452e-28,5.748766219363069e-30,0.03,0.04
0.0021412400528788567,7.998800127440825e-17,0.04,0.05
0.0,1.0,0.05,0.06
0.0,1.0,0.06,0.07
1.0,0.0,0.07,0.08
1.0,0.0,0.08,0.09
1.0,2.7835714347192414e-23,0.09,0.1
7.192179166217639e-33,1.0,0.1,0.11
2.4654659822409297e-32,4.370987946589189e-11,0.11,0.12
5.838135530567001e-12,3.35009708862799e-09,0.12,0.13
0.0,0.0,0.13,0.14
0.0,0.0,0.14,0.15
1.0671969170814373e-25,1.0630938467421313e-16,0.15,0.16
1.2895738390793717e-35,9.698767849369049e-31,0.16,0.17
1.6214568648726517e-21,5.427454198070336e-06,0.17,0.18
7.780597955132115e-16,0.0001050573555403389,0.18,0.19
3.476507248295831e-24,4.1287620472013064e-35,0.19,0.2
3.8516291974467925e-21,7.682360839940169e-19,0.2,0.21
2.9526126910097522e-24,2.397685920027601e-30,0.21,0.22
1.3905957985116402e-06,2.2077308377372526e-20,0.22,0.23
7.300516091891731e-16,2.2896225193580477e-10,0.23,0.24
1.6471223121322306e-14,2.555136768833677e-09,0.24,0.25
1.0810031721845457e-28,3.0657931527853936e-18,0.25,0.26
5.867409583256526e-22,3.4717020724856325e-21,0.26,0.27
4.466033376449019e-10,1.2240519199364225e-13,0.27,0.28
6.942120762687409e-06,8.314656353196725e-30,0.28,0.29
0.00014833026216365397,7.254752665714237e-20,0.29,0.3
5.1773401538168784e-11,0.002592194825410843,0.3,0.31
1.248228620413642e-15,2.0724515884164024e-24,0.31,0.32
8.301841913839914e-16,1.3577692747901438e-08,0.32,0.33
1.9563640395685532e-18,2.1659694561198978e-17,0.33,0.34
6.56564089476574e-17,1.7983001937517917e-22,0.34,0.35000000000000003
2.6281193798789555e-26,3.888022690154242e-26,0.35000000000000003,0.36
2.967771139968936e-36,5.907690434038915e-18,0.36,0.37
8.854128910086578e-14,0.0,0.37,0.38
3.13115406965719e-18,1.850254880940945e-20,0.38,0.39
3.440453416947131e-30,1.8797739750312064e-33,0.39,0.4
1.4155452611917913e-23,1.5874127079162868e-21,0.4,0.41000000000000003
1.1595150395393716e-09,2.5515544047055713e-15,0.41000000000000003,0.42
1.8037842053342246e-10,1.3715927025259589e-06,0.42,0.43
5.939020976397646e-14,1.321019349648006e-16,0.43,0.44
1.751510221581487e-11,4.178285830280303e-30,0.44,0.45
2.1083277346178875e-08,1.5687517745336527e-13,0.45,0.46
7.39743620634288e-14,1.6679348603231697e-13,0.46,0.47000000000000003
2.3374944829127747e-14,3.099309435871246e-16,0.47000000000000003,0.48
1.128299342845196e-09,1.8631121645462656e-10,0.48,0.49
7.630847029920087e-17,5.544762251944284e-20,0.49,0.5
1.3797785601845603e-21,0.0,0.5,0.51
0.0,0.0,0.51,0.52
0.0,1.3651781074756926e-19,0.52,0.53
2.1776389014498826e-13,9.209840929336618e-29,0.53,0.54
1.901553641674121e-27,1.0812811657275434e-25,0.54,0.55
1.9837795797574215e-25,0.0,0.55,0.56
8.551873971304247e-19,1.4118015946950882e-17,0.56,0.5700000000000001
1.4380088337450973e-28,1.424658256491719e-14,0.5700000000000001,0.58
4.828014014838872e-17,4.767008727861455e-13,0.58,0.59
6.672156160902887e-08,1.0959393115239635e-11,0.59,0.6
1.023271311434426e-11,1.3613222360695496e-15,0.6,0.61
8.455489641789882e-10,8.994177164208548e-18,0.61,0.62
1.6455781803870195e-07,2.9622643129928106e-20,0.62,0.63
2.2678905975404007e-10,2.8197266813372336e-38,0.63,0.64
2.123317752071099e-29,6.955665716730851e-29,0.64,0.65
1.6135333207775895e-33,0.0,0.65,0.66
2.868678087909463e-24,3.6097635734542585e-29,0.66,0.67
0.0,0.0,0.67,0.68
1.1545770733169625e-22,0.0,0.68,0.6900000000000001
2.2628827978099508e-10,2.0204029087659365e-22,0.6900000000000001,0.7000000000000001
1.0504484389330126e-15,7.604175285900029e-16,0.7000000000000001,0.71
5.306843394282953e-18,9.711459414418755e-10,0.71,0.72
0.00010219397518085316,6.782604353638148e-22,0.72,0.73
0.0,9.381917977081106e-16,0.73,0.74
5.798141480828356e-12,4.294889421885273e-08,0.74,0.75
0.008612973615527153,2.4210589089079804e-10,0.75,0.76
8.304272200443386e-12,0.0012229884741827846,0.76,0.77
0.0011032125912606716,1.058958165600643e-08,0.77,0.78
3.2257874408969656e-05,1.2244694289620384e-06,0.78,0.79
0.0001460643979953602,6.328191089870758e-17,0.79,0.8
3.129671455326388e-08,1.547451853246333e-18,0.8,0.81
2.456100600678468e-11,4.772164885480379e-10,0.81,0.8200000000000001
1.3167325047607621e-24,1.138441232431219e-18,0.8200000000000001,0.8300000000000001
4.475913946254276e-15,1.4841746538360456e-12,0.8300000000000001,0.84
4.034668310711441e-14,5.428709641819296e-07,0.84,0.85
1.4815031211517412e-18,6.242603047381711e-24,0.85,0.86
1.851093436248518e-14,0.0,0.86,0.87
1.2232771393953604e-21,1.5864145552768605e-06,0.87,0.88
9.514434614576387e-25,0.0,0.88,0.89
0.0,0.0,0.89,0.9
0.0,1.0,0.9,0.91
0.0,1.0,0.91,0.92
0.993898868560791,3.6682523731534337e-31,0.92,0.93
1.0,2.7054657375587677e-29,0.93,0.9400000000000001
1.0,1.2839149932033013e-34,0.9400000000000001,0.9500000000000001
6.352976921677049e-21,1.0,0.9500000000000001,0.96
3.915881627388573e-34,1.0493968147784472e-06,0.96,0.97
3.0693069994839066e-16,6.42824312040943e-25,0.97,0.98
