xmin,xmax,xmin_score,xmax_score,score,match_iou,match_ioa
0.915,0.975,1.0,1.0,1.0,0.6923076923076917,0.7499999999999996
0.915,0.965,1.0,1.0,1.0,0.8181818181818178,0.8999999999999998
0.125,0.215,1.0,1.0,1.0,0.894736842105263,0.9444444444444444
0.8350000000000001,0.915,0.004569411277770996,1.0,0.004569411277770996,0.04000000000000007,0.06250000000000008
0.395,0.455,0.9965465664863586,8.616471518507751e-07,8.5867151069964e-07,0.0,0.0
0.215,0.295,1.0,2.460712522633912e-09,2.460712522633912e-09,0.0,0.0
0.295,0.35500000000000004,2.460712522633912e-09,0.9999501705169678,2.4605899066010184e-09,0.052631578947369036,0.08333333333333426
0.225,0.295,0.9990612864494324,2.460712522633912e-09,2.4584026184448643e-09,0.0,0.0
0.115,0.185,1.0,8.276847089649929e-12,8.276847089649929e-12,0.6842105263157897,0.9285714285714287
0.125,0.185,1.0,8.276847089649929e-12,8.276847089649929e-12,0.6666666666666666,1.0
0.185,0.225,8.276847089649929e-12,0.9990612864494324,8.269077501130898e-12,0.23809523809523803,0.6249999999999998
0.35500000000000004,0.425,0.9999501705169678,1.3417228482762169e-12,1.3416559909203148e-12,0.4666666666666663,0.5
0.215,0.265,1.0,3.857489956800297e-13,3.857489956800297e-13,0.0,0.0
0.225,0.265,0.9990612864494324,3.857489956800297e-13,3.85386887870667e-13,0.0,0.0
0.125,0.165,1.0,3.727201381732714e-13,3.727201381732714e-13,0.44444444444444453,1.0
0.115,0.165,1.0,3.727201381732714e-13,3.727201381732714e-13,0.47368421052631604,0.9000000000000002
0.165,0.215,3.727201381732714e-13,1.0,3.727201381732714e-13,0.4736842105263156,0.8999999999999999
0.165,0.225,3.727201381732714e-13,0.9990612864494324,3.723702607289987e-13,0.4285714285714284,0.7499999999999998
0.755,0.8350000000000001,1.8186513059403886e-11,0.004569411277770996,8.310165787696962e-14,0.0,0.0
0.5650000000000001,0.625,4.3691940732060175e-07,9.938298717315774e-08,4.342235585344705e-14,0.0,0.0
0.625,0.6950000000000001,9.938298717315774e-08,3.323071382510534e-07,3.30256760583532e-14,0.0,0.0
0.6950000000000001,0.755,3.323071382510534e-07,1.8186513059403886e-11,6.043508109535915e-18,0.0,0.0
0.915,0.995,1.0,6.071547055169851e-19,6.071547055169851e-19,0.5294117647058817,0.5624999999999994
0.885,0.975,5.162653405805771e-19,1.0,5.162653405805771e-19,0.555555555555555,0.555555555555555
0.885,0.965,5.162653405805771e-19,1.0,5.162653405805771e-19,0.6249999999999994,0.6249999999999994
0.455,0.535,8.616471518507751e-07,1.1919415107697342e-13,1.0270330079274515e-19,0.0,0.0
0.395,0.485,0.9965465664863586,5.772991076470467e-20,5.753054435613032e-20,0.0,0.0
0.865,0.915,3.5944177090908553e-20,1.0,3.5944177090908553e-20,0.05263157894736854,0.1
0.535,0.625,1.1919415107697342e-13,9.938298717315774e-08,1.1845870787598277e-20,0.0,0.0
0.785,0.8350000000000001,7.412925366964803e-19,0.004569411277770996,3.387270477308367e-21,0.0,0.0
0.8350000000000001,0.885,0.004569411277770996,5.162653405805771e-19,2.3590286695711735e-21,0.0,0.0
0.245,0.295,4.008719625778895e-13,2.460712522633912e-09,9.864306582882457e-22,0.0,0.0
0.455,0.505,8.616471518507751e-07,4.6244091318871104e-17,3.984608957483244e-23,0.0,0.0
0.735,0.805,2.101705920409813e-09,1.784169871305724e-14,3.749800381540055e-23,0.0,0.0
0.505,0.5650000000000001,4.6244091318871104e-17,4.3691940732060175e-07,2.0204940971120948e-23,0.0,0.0
0.185,0.245,8.276847089649929e-12,4.008719625778895e-13,3.3179559367850596e-24,0.19999999999999996,0.4166666666666666
0.185,0.265,8.276847089649929e-12,3.857489956800297e-13,3.1927854522296365e-24,0.1724137931034482,0.3124999999999999
0.755,0.805,1.8186513059403886e-11,1.784169871305724e-14,3.2447828664696502e-25,0.0,0.0
0.6950000000000001,0.785,3.323071382510534e-07,7.412925366964803e-19,2.4633680147647135e-25,0.0,0.0
0.165,0.245,3.727201381732714e-13,4.008719625778895e-13,1.4941305328182144e-25,0.3599999999999999,0.5624999999999999
0.485,0.5650000000000001,5.772991076470467e-20,4.3691940732060175e-07,2.5223318395985992e-26,0.0,0.0
0.5650000000000001,0.655,4.3691940732060175e-07,7.557913713980068e-21,3.3021991804924194e-27,0.0,0.0
0.655,0.6950000000000001,7.557913713980068e-21,3.323071382510534e-07,2.511548677441107e-27,0.0,0.0
0.735,0.785,2.101705920409813e-09,7.412925366964803e-19,1.5579789131306013e-27,0.0,0.0
0.335,0.395,1.2975336702726796e-27,0.9965465664863586,1.2930527240106818e-27,0.6666666666666673,0.6666666666666673
0.425,0.505,1.3417228482762169e-12,4.6244091318871104e-17,6.204675392030122e-29,0.0,0.0
0.655,0.735,7.557913713980068e-21,2.101705920409813e-09,1.588451199861843e-29,0.0,0.0
0.425,0.485,1.3417228482762169e-12,5.772991076470467e-20,7.745754030195139e-32,0.0,0.0
0.805,0.885,1.784169871305724e-14,5.162653405805771e-19,9.211050662632542e-33,0.0,0.0
0.485,0.535,5.772991076470467e-20,1.1919415107697342e-13,6.881067705348403e-33,0.0,0.0
0.805,0.865,1.784169871305724e-14,3.5944177090908553e-20,6.413051781447647e-34,0.0,0.0
0.055,0.125,8.207140271351084e-35,1.0,8.207140271351084e-35,0.03225806451612905,0.07142857142857148
0.055,0.115,8.207140271351084e-35,1.0,8.207140271351084e-35,0.0,0.0
0.295,0.335,2.460712522633912e-09,1.2975336702726796e-27,3.192857350979124e-36,0.0,0.0
0.07500000000000001,0.125,5.720043158396558e-38,1.0,5.720043158396558e-38,0.03703703703703707,0.10000000000000012
0.785,0.865,7.412925366964803e-19,3.5944177090908553e-20,2.6645150215187115e-38,0.0,0.0
0.335,0.425,1.2975336702726796e-27,1.3417228482762169e-12,1.7409305718125533e-39,0.444444444444445,0.444444444444445
0.265,0.335,3.857489956800297e-13,1.2975336702726796e-27,5.005223101687089e-40,0.0,0.0
0.095,0.185,3.8302723023636043e-33,8.276847089649929e-12,3.170257815838493e-44,0.5652173913043479,0.7222222222222223
0.095,0.165,3.8302723023636043e-33,3.727201381732714e-13,1.427619621778217e-45,0.3913043478260871,0.642857142857143
0.07500000000000001,0.165,5.720043158396558e-38,3.727201381732714e-13,2.1319752763546406e-50,0.3333333333333334,0.5000000000000001
0.005,0.095,3.889386627569512e-34,3.8302723023636043e-33,1.4897409872762888e-66,0.0,0.0
0.055,0.095,8.207140271351084e-35,3.8302723023636043e-33,3.143558206296897e-67,0.0,0.0
0.005,0.055,3.889386627569512e-34,8.207140271351084e-35,3.192074162198012e-68,0.0,0.0
0.005,0.07500000000000001,3.889386627569512e-34,5.720043158396558e-38,2.2247459369388046e-71,0.0,0.0
