xmin,xmax,xmin_score,xmax_score,score,match_iou,match_ioa
0.405,0.455,1.0,1.0,1.0,0.8000000000000009,0.8000000000000009
0.895,0.995,1.0,1.0,1.0,0.9047619047619047,0.95
0.7050000000000001,0.775,0.7617008686065674,1.0,0.7617008686065674,0.0,0.0
0.775,0.875,1.0,0.0012197175528854134,0.0012197175528854134,0.0,0.0
0.41500000000000004,0.495,1.0,0.0005833749310113491,0.0005833749310113491,0.41176470588235253,0.4374999999999999
0.405,0.495,1.0,0.0005833749310113491,0.0005833749310113491,0.444444444444445,0.444444444444445
0.845,0.895,0.0004323639150243253,1.0,0.0004323639150243253,0.034482758620689655,0.1
0.775,0.845,1.0,0.0004323639150243253,0.0004323639150243253,0.0,0.0
0.35500000000000004,0.405,2.7448868422652595e-06,1.0,2.7448868422652595e-06,0.0,0.0
0.35500000000000004,0.41500000000000004,2.7448868422652595e-06,1.0,2.7448868422652595e-06,0.0526315789473691,0.08333333333333434
0.35500000000000004,0.455,2.7448868422652595e-06,1.0,2.7448868422652595e-06,0.40000000000000024,0.40000000000000047
0.495,0.555,0.0005833749310113491,0.001006345497444272,5.87076735145134e-07,0.0,0.0
0.8150000000000001,0.895,3.5519644825399155e-07,1.0,3.5519644825399155e-07,0.02857142857142861,0.06250000000000008
0.775,0.8150000000000001,1.0,3.5519644825399155e-07,3.5519644825399155e-07,0.0,0.0
0.625,0.7050000000000001,3.142076820950024e-07,0.7617008686065674,2.393322643746195e-07,0.0,0.0
0.665,0.7050000000000001,3.662210090737972e-08,0.7617008686065674,2.789508607134849e-08,0.0,0.0
0.645,0.7050000000000001,2.4391939579260224e-09,0.7617008686065674,1.8579361564521423e-09,0.0,0.0
0.8150000000000001,0.875,3.5519644825399155e-07,0.0012197175528854134,4.332393426579489e-10,0.0,0.0
0.555,0.625,0.001006345497444272,3.142076820950024e-07,3.1620148613870686e-10,0.0,0.0
0.925,0.995,2.0112335408217772e-10,1.0,2.0112335408217772e-10,0.6190476190476186,0.9285714285714285
0.034999999999999996,0.10500000000000001,0.22651012241840365,5.194928376361929e-10,1.1767038624845796e-10,0.0,0.0
0.325,0.41500000000000004,3.0893061546410916e-12,1.0,3.0893061546410916e-12,0.0400000000000005,0.055555555555556205
0.325,0.405,3.0893061546410916e-12,1.0,3.0893061546410916e-12,0.0,0.0
0.555,0.645,0.001006345497444272,2.4391939579260224e-09,2.454671856952126e-12,0.0,0.0
0.495,0.585,0.0005833749310113491,2.0507773257349977e-09,1.1963720809202933e-12,0.0,0.0
0.875,0.925,0.0012197175528854134,2.0112335408217772e-10,2.453136852692203e-13,0.3043478260869571,0.7
0.845,0.925,0.0004323639150243253,2.0112335408217772e-10,8.695848077379398e-14,0.2413793103448276,0.4375
0.625,0.665,3.142076820950024e-07,3.662210090737972e-08,1.1506945439557065e-14,0.0,0.0
0.135,0.195,1.2086428524682447e-09,5.818574663862819e-06,7.032578679030615e-15,0.0,0.0
0.555,0.605,0.001006345497444272,5.494702783048755e-12,5.529569405515625e-15,0.0,0.0
0.10500000000000001,0.195,5.194928376361929e-10,5.818574663862819e-06,3.022707863128153e-15,0.0,0.0
0.585,0.625,2.0507773257349977e-09,3.142076820950024e-07,6.443699900121814e-16,0.0,0.0
0.585,0.665,2.0507773257349977e-09,3.662210090737972e-08,7.510377416163341e-17,0.0,0.0
0.455,0.525,1.0,6.152008154123802e-18,6.152008154123802e-18,0.0,0.0
0.585,0.645,2.0507773257349977e-09,2.4391939579260224e-09,5.002243661984493e-18,0.0,0.0
0.745,0.845,5.923112088285611e-15,0.0004323639150243253,2.560939931619074e-18,0.0,0.0
0.605,0.665,5.494702783048755e-12,3.662210090737972e-08,2.0122755977687167e-19,0.0,0.0
0.725,0.775,1.114310900547581e-19,1.0,1.114310900547581e-19,0.0,0.0
0.195,0.255,5.818574663862819e-06,4.683369255695799e-15,2.7250533692705646e-20,0.0,0.0
0.605,0.645,5.494702783048755e-12,2.4391939579260224e-09,1.3402645829011823e-20,0.0,0.0
0.195,0.295,5.818574663862819e-06,1.7408520769875474e-15,1.0129277788692709e-20,0.0,0.0
0.295,0.35500000000000004,1.7408520769875474e-15,2.7448868422652595e-06,4.7784419604532675e-21,0.0,0.0
0.745,0.8150000000000001,5.923112088285611e-15,3.5519644825399155e-07,2.103868376369332e-21,0.0,0.0
0.665,0.745,3.662210090737972e-08,5.923112088285611e-15,2.1691680858291625e-22,0.0,0.0
0.645,0.745,2.4391939579260224e-09,5.923112088285611e-15,1.4447619217864847e-23,0.0,0.0
0.525,0.625,6.152008154123802e-18,3.142076820950024e-07,1.933008222336794e-24,0.0,0.0
0.725,0.8150000000000001,1.114310900547581e-19,3.5519644825399155e-07,3.957992741252076e-26,0.0,0.0
0.625,0.725,3.142076820950024e-07,1.114310900547581e-19,3.501250451942502e-26,0.0,0.0
0.255,0.325,4.683369255695799e-15,3.0893061546410916e-12,1.44683614660779e-26,0.0,0.0
0.525,0.585,6.152008154123802e-18,2.0507773257349977e-09,1.261639883021391e-26,0.0,0.0
0.665,0.725,3.662210090737972e-08,1.114310900547581e-19,4.080840624204668e-27,0.0,0.0
0.645,0.725,2.4391939579260224e-09,1.114310900547581e-19,2.7180204158667647e-28,0.0,0.0
0.525,0.605,6.152008154123802e-18,5.494702783048755e-12,3.3803456325802686e-29,0.0,0.0
0.10500000000000001,0.165,5.194928376361929e-10,1.6055488851845819e-21,8.340711463281644e-31,0.0,0.0
0.165,0.255,1.6055488851845819e-21,4.683369255695799e-15,7.519378287390135e-36,0.0,0.0
