action,startend,xmin,xmax
0.11055272817611694,0.20788100361824036,0.0,0.01
0.1205492913722992,0.016948342323303223,0.01,0.02
0.009112387895584106,0.1373508870601654,0.02,0.03
0.12166574597358704,0.0029382407665252686,0.03,0.04
0.044467806816101074,0.03467679023742676,0.04,0.05
0.14039835333824158,0.013546854257583618,0.05,0.06
0.74913489818573,0.004051476716995239,0.06,0.07
0.524469792842865,0.10134068131446838,0.07,0.08
0.4906076490879059,0.13865840435028076,0.08,0.09
0.9620472192764282,0.0006318390369415283,0.09,0.1
0.9617950916290283,0.002355635166168213,0.1,0.11
0.8502216339111328,0.056032150983810425,0.11,0.12
0.5201748013496399,0.2452794313430786,0.12,0.13
0.10090813040733337,0.654053807258606,0.13,0.14
0.5952296257019043,0.007676750421524048,0.14,0.15
0.914537250995636,0.00022923946380615234,0.15,0.16
0.6078468561172485,0.010257929563522339,0.16,0.17
0.6860661506652832,0.01527935266494751,0.17,0.18
0.15191656351089478,0.2634297013282776,0.18,0.19
0.18524080514907837,0.17108935117721558,0.19,0.2
0.18453249335289001,0.11111536622047424,0.2,0.21
0.21248245239257812,0.12686032056808472,0.21,0.22
0.8609147071838379,0.006565868854522705,0.22,0.23
0.9980372190475464,4.309415817260742e-05,0.23,0.24
0.9955581426620483,0.0010724365711212158,0.24,0.25
0.13199588656425476,0.9360637664794922,0.25,0.26
0.8477330803871155,0.008423149585723877,0.26,0.27
0.9332209825515747,0.0004494190216064453,0.27,0.28
0.2427535057067871,0.03997683525085449,0.28,0.29
0.3563936948776245,0.011579513549804688,0.29,0.3
0.45019471645355225,0.0082264244556427,0.3,0.31
0.8214081525802612,0.0016257166862487793,0.31,0.32
0.9573924541473389,0.001123964786529541,0.32,0.33
0.8289206027984619,0.0012953579425811768,0.33,0.34
0.0004112720489501953,0.9995599985122681,0.34,0.35000000000000003
0.0022182464599609375,0.992374062538147,0.35000000000000003,0.36
0.7350265979766846,0.015666216611862183,0.36,0.37
0.9938496947288513,5.0127506256103516e-05,0.37,0.38
0.882679283618927,0.03134927153587341,0.38,0.39
0.9766261577606201,0.000648200511932373,0.39,0.4
0.4085356295108795,0.3304409682750702,0.4,0.41000000000000003
0.8539661169052124,0.008491486310958862,0.41000000000000003,0.42
0.938766598701477,0.011808305978775024,0.42,0.43
0.8336130380630493,0.01632225513458252,0.43,0.44
0.31383010745048523,0.7971855401992798,0.44,0.45
0.9967542886734009,2.1636486053466797e-05,0.45,0.46
0.05869936943054199,0.6918882727622986,0.46,0.47000000000000003
0.12901458144187927,0.051770180463790894,0.47000000000000003,0.48
0.04657164216041565,0.5247116684913635,0.48,0.49
0.6691417098045349,0.08130356669425964,0.49,0.5
0.9930434226989746,0.0022765398025512695,0.5,0.51
0.7334859371185303,0.34492072463035583,0.51,0.52
0.8494921922683716,0.0059494078159332275,0.52,0.53
0.3030608296394348,0.019671738147735596,0.53,0.54
0.27863413095474243,0.003930002450942993,0.54,0.55
0.010237693786621094,0.5251567959785461,0.55,0.56
0.1049661636352539,0.04029440879821777,0.56,0.5700000000000001
0.12428390979766846,0.07811161875724792,0.5700000000000001,0.58
0.760174036026001,0.0017441213130950928,0.58,0.59
0.2517644166946411,0.04911208152770996,0.59,0.6
0.158287912607193,0.3461483120918274,0.6,0.61
0.9352484941482544,0.0016051828861236572,0.61,0.62
0.2905328869819641,0.11165562272071838,0.62,0.63
0.5280519723892212,0.014219194650650024,0.63,0.64
0.2084663212299347,0.14653435349464417,0.64,0.65
0.6270524859428406,0.05886915326118469,0.65,0.66
0.998530387878418,6.1005353927612305e-05,0.66,0.67
0.9962061643600464,0.0016918182373046875,0.67,0.68
0.9959852695465088,0.0029398202896118164,0.68,0.6900000000000001
0.9668951034545898,0.026326000690460205,0.6900000000000001,0.7000000000000001
0.2616017460823059,0.8923619985580444,0.7000000000000001,0.71
0.9109847545623779,0.012676060199737549,0.71,0.72
0.3128337264060974,0.21864160895347595,0.72,0.73
0.12036043405532837,0.157918781042099,0.73,0.74
0.26274675130844116,0.03218039870262146,0.74,0.75
0.7826341390609741,0.001281142234802246,0.75,0.76
0.3769655227661133,0.01512688398361206,0.76,0.77
0.7828660607337952,0.0011810064315795898,0.77,0.78
0.874193012714386,0.0014084577560424805,0.78,0.79
0.13888517022132874,0.4016305208206177,0.79,0.8
0.19008132815361023,0.29771965742111206,0.8,0.81
0.48770520091056824,0.0066197216510772705,0.81,0.8200000000000001
0.014952242374420166,0.8050587177276611,0.8200000000000001,0.8300000000000001
0.7573786973953247,0.001989901065826416,0.8300000000000001,0.84
0.21009403467178345,0.7084691524505615,0.84,0.85
0.938521146774292,0.01883956789970398,0.85,0.86
0.9409904479980469,0.006801486015319824,0.86,0.87
0.9884384870529175,0.0002786219120025635,0.87,0.88
0.9877746105194092,0.0004908144474029541,0.88,0.89
0.8517530560493469,0.023511677980422974,0.89,0.9
0.3001142740249634,0.02352076768875122,0.9,0.91
0.000274658203125,0.9592226147651672,0.91,0.92
3.635883331298828e-06,0.9993969202041626,0.92,0.93
0.0029946565628051758,0.060279637575149536,0.93,0.9400000000000001
0.02041870355606079,0.004676699638366699,0.9400000000000001,0.9500000000000001
0.004684150218963623,0.1303844451904297,0.9500000000000001,0.96
0.042467325925827026,0.007625609636306763,0.96,0.97
0.10725253820419312,0.002972513437271118,0.97,0.98
0.7695366740226746,0.00014418363571166992,0.98,0.99
0.6629834175109863,0.019002020359039307,0.99,1.0
