xmin,xmax,xmin_score,xmax_score,iou_score
0.655,0.6950000000000001,1.0,1.0,0.19056273
0.5650000000000001,0.655,1.0,1.0,0.7775879
0.395,0.455,1.0,1.0,0.7012798
0.025,0.105,1.0,0.014254249632358553,0.044650257
0.915,0.995,1.9355766198714264e-05,1.0,0.04465023
0.865,0.915,1.0,1.9355766198714264e-05,0.04465023
0.495,0.5650000000000001,3.818005552602697e-06,1.0,0.048574273
0.495,0.555,3.818005552602697e-06,1.0,0.04463096
0.435,0.495,0.9999904632568359,3.818005552602697e-06,0.1064829
0.105,0.155,0.014254249632358553,6.060762984816392e-07,0.044650268
0.025,0.07500000000000001,1.0,5.244347733857069e-10,0.04465021
0.6950000000000001,0.765,1.0,1.4813961168869128e-10,0.04389057
0.685,0.765,1.0,1.4813961168869128e-10,0.042024102
0.595,0.655,5.4200190342801324e-12,1.0,0.6041813
0.595,0.665,5.4200190342801324e-12,1.0,0.44695926
0.34500000000000003,0.395,3.6730347089579737e-14,1.0,0.047684375
0.34500000000000003,0.435,3.6730347089579737e-14,0.9999904632568359,0.35729435
0.865,0.945,1.0,4.172376301473909e-15,0.04465023
0.945,0.995,4.172376301473909e-15,1.0,0.04465023
0.615,0.685,1.0729497632977047e-15,1.0,0.37421837
0.555,0.615,1.0,1.0729497632977047e-15,0.6141654
0.5650000000000001,0.615,1.0,1.0729497632977047e-15,0.66526246
0.615,0.6950000000000001,1.0729497632977047e-15,1.0,0.3444365
0.615,0.655,1.0729497632977047e-15,1.0,0.5852921
0.615,0.665,1.0729497632977047e-15,1.0,0.3722528
0.155,0.195,6.060762984816392e-07,1.4939158798910055e-09,0.04465023
0.07500000000000001,0.155,5.244347733857069e-10,6.060762984816392e-07,0.044650268
0.365,0.435,2.2322123956788594e-16,0.9999904632568359,0.5072401
0.195,0.255,1.4939158798910055e-09,2.368242135730725e-08,0.04465023
0.845,0.915,2.932458150004674e-13,1.9355766198714264e-05,0.04465023
0.8150000000000001,0.865,5.627915616996942e-19,1.0,0.04465023
0.125,0.195,1.298128965432355e-10,1.4939158798910055e-09,0.044650238
0.07500000000000001,0.125,5.244347733857069e-10,1.298128965432355e-10,0.044650268
0.765,0.845,1.4813961168869128e-10,2.932458150004674e-13,0.044651244
0.915,0.965,1.9355766198714264e-05,9.001621376131219e-19,0.04465023
0.255,0.305,2.368242135730725e-08,8.021011581249099e-17,0.044650257
0.415,0.495,2.632026929091734e-19,3.818005552602697e-06,0.15237382
0.685,0.735,1.0,1.418273423233743e-25,0.042494383
0.655,0.735,1.0,1.418273423233743e-25,0.09765559
0.665,0.735,1.0,1.418273423233743e-25,0.09107878
0.795,0.865,2.8834175718190165e-28,1.0,0.044650063
0.765,0.8150000000000001,1.4813961168869128e-10,5.627915616996942e-19,0.044651702
0.305,0.34500000000000003,8.021011581249099e-17,3.6730347089579737e-14,0.04465023
0.305,0.365,8.021011581249099e-17,2.2322123956788594e-16,0.04465023
0.34500000000000003,0.415,3.6730347089579737e-14,2.632026929091734e-19,0.16684444
0.845,0.885,2.932458150004674e-13,5.9477961503292296e-21,0.04465023
0.365,0.415,2.2322123956788594e-16,2.632026929091734e-19,0.26790968
0.885,0.945,5.9477961503292296e-21,4.172376301473909e-15,0.04465023
0.005,0.07500000000000001,2.618802501179988e-26,5.244347733857069e-10,0.04465023
0.885,0.965,5.9477961503292296e-21,9.001621376131219e-19,0.04465023
0.8150000000000001,0.885,5.627915616996942e-19,5.9477961503292296e-21,0.04465023
0.795,0.845,2.8834175718190165e-28,2.932458150004674e-13,0.044650063
0.735,0.8150000000000001,1.418273423233743e-25,5.627915616996942e-19,0.044651024
0.795,0.885,2.8834175718190165e-28,5.9477961503292296e-21,0.044650063
0.735,0.795,1.418273423233743e-25,2.8834175718190165e-28,0.04465162
