xmin,xmax,xmin_score,xmax_score,iou_score
0.005,0.07500000000000001,1.0,1.0,0.044650238
0.095,0.17500000000000002,1.0,1.0,0.8098134
0.015,0.07500000000000001,1.0,1.0,0.044650238
0.005,0.085,1.0,1.0,0.045382947
0.015,0.085,1.0,1.0,0.044998616
0.795,0.855,1.0,1.0,0.7028279
0.015,0.095,1.0,1.0,0.048898343
0.795,0.845,1.0,1.0,0.80277735
0.635,0.6950000000000001,0.9999983310699464,1.0,0.7030811
0.635,0.685,0.9999983310699464,1.0,0.8032288
0.555,0.635,3.291113159775705e-07,0.9999983310699464,0.04889832
0.185,0.235,1.0,9.633233100103666e-11,0.044233903
0.17500000000000002,0.235,1.0,9.633233100103666e-11,0.042176403
0.195,0.235,0.9995611310005188,9.633233100103666e-11,0.04465023
0.07500000000000001,0.155,1.0,2.857807220035813e-11,0.61436576
0.085,0.155,1.0,2.857807220035813e-11,0.66741717
0.095,0.155,1.0,2.857807220035813e-11,0.68375826
0.155,0.195,2.857807220035813e-11,0.9995611310005188,0.22959943
0.115,0.185,2.4237189946013653e-12,1.0,0.5402932
0.115,0.17500000000000002,2.4237189946013653e-12,1.0,0.63296145
0.115,0.195,2.4237189946013653e-12,0.9995611310005188,0.44761044
0.425,0.505,5.413102144302685e-07,4.702610922890926e-08,0.04465043
0.505,0.555,4.702610922890926e-08,3.291113159775705e-07,0.044651654
0.595,0.635,2.014645418671251e-15,0.9999983310699464,0.047109514
0.425,0.485,5.413102144302685e-07,1.0913425718683813e-10,0.044650473
0.485,0.555,1.0913425718683813e-10,3.291113159775705e-07,0.044651397
0.6950000000000001,0.765,1.0,1.538257895834171e-19,0.043890778
0.685,0.765,1.0,1.538257895834171e-19,0.04172758
0.765,0.845,1.538257895834171e-19,1.0,0.6504707
0.235,0.295,9.633233100103666e-11,7.644140875839867e-11,0.04465023
0.155,0.235,2.857807220035813e-11,9.633233100103666e-11,0.07693365
0.365,0.425,4.141581148127058e-15,5.413102144302685e-07,0.04465023
0.295,0.365,7.644140875839867e-11,4.141581148127058e-15,0.044655517
0.685,0.735,1.0,2.699193343878797e-25,0.04244659
0.735,0.795,2.699193343878797e-25,1.0,0.048115853
0.005,0.045,1.0,8.370200006681394e-26,0.04465023
0.045,0.095,8.370200006681394e-26,1.0,0.047684398
0.045,0.085,8.370200006681394e-26,1.0,0.04459901
0.595,0.665,2.014645418671251e-15,1.6677162038500337e-12,0.33696628
0.935,0.985,1.6327967919729204e-17,1.7154227691107415e-11,0.04465023
0.215,0.295,1.9193735565509475e-18,7.644140875839867e-11,0.04465023
0.155,0.215,2.857807220035813e-11,1.9193735565509475e-18,0.11711162
0.295,0.335,7.644140875839867e-11,5.523313717154724e-20,0.044660266
0.665,0.735,1.6677162038500337e-12,2.699193343878797e-25,0.092703015
0.045,0.115,8.370200006681394e-26,2.4237189946013653e-12,0.16986547
0.845,0.885,1.0,8.673383368047471e-38,0.042734884
0.335,0.385,5.523313717154724e-20,6.456118910535352e-30,0.044649445
0.885,0.955,8.673383368047471e-38,3.099153925916086e-17,0.04465023
0.885,0.935,8.673383368047471e-38,1.6327967919729204e-17,0.04465023
0.935,0.995,1.6327967919729204e-17,0.0,0.04465023
