xmin,xmax,xmin_score,xmax_score,iou_score
0.555,0.645,1.0,1.0,0.8076964
0.475,0.555,1.0,1.0,0.04969543
0.475,0.545,1.0,1.0,0.045958657
0.465,0.545,1.0,1.0,0.043885805
0.415,0.465,0.9990752935409546,1.0,0.8033594
0.415,0.475,0.9990752935409546,1.0,0.70321935
0.555,0.615,1.0,4.009430995211005e-05,0.66596013
0.615,0.655,4.009430995211005e-05,1.0,0.36293557
0.545,0.615,1.0,4.009430995211005e-05,0.6355501
0.645,0.725,1.0,8.719927791389638e-06,0.041726314
0.655,0.725,1.0,8.719927791389638e-06,0.04389133
0.435,0.475,7.607888505845041e-07,1.0,0.36390954
0.475,0.525,1.0,4.359504757189825e-08,0.04419033
0.465,0.525,1.0,4.359504757189825e-08,0.042261183
0.335,0.415,4.073715587082916e-09,0.9990752935409546,0.04889832
0.385,0.465,4.00936339683966e-10,1.0,0.653019
0.025,0.095,0.0005968444747850299,5.133167064741428e-07,0.044709444
0.365,0.415,4.8311393947841904e-12,0.9990752935409546,0.047684375
0.525,0.615,4.359504757189825e-08,4.009430995211005e-05,0.5173658
0.545,0.595,1.0,6.197767993265656e-13,0.5762133
0.595,0.645,6.197767993265656e-13,1.0,0.60718185
0.595,0.655,6.197767993265656e-13,1.0,0.47391093
0.265,0.335,3.3299156712018885e-06,4.073715587082916e-09,0.04465023
0.8150000000000001,0.885,3.975256790411663e-10,3.5587154343375013e-06,0.044612907
0.385,0.435,4.00936339683966e-10,7.607888505845041e-07,0.26770985
0.095,0.155,5.133167064741428e-07,3.983454122113983e-10,0.044649046
0.495,0.545,3.658890833690714e-17,1.0,0.04615351
0.495,0.555,3.658890833690714e-17,1.0,0.04936825
0.415,0.495,0.9990752935409546,3.658890833690714e-17,0.5423619
0.8150000000000001,0.865,3.975256790411663e-10,3.71716488700713e-08,0.0446351
0.365,0.435,4.8311393947841904e-12,7.607888505845041e-07,0.16986537
0.8350000000000001,0.885,6.511565375441619e-13,3.5587154343375013e-06,0.04465021
0.335,0.385,4.073715587082916e-09,4.00936339683966e-10,0.04465023
0.885,0.955,3.5587154343375013e-06,2.2349892661414905e-13,0.04465023
0.305,0.385,4.4656842113077744e-10,4.00936339683966e-10,0.04465023
0.185,0.265,3.322395256046689e-14,3.3299156712018885e-06,0.044650238
0.215,0.265,9.981139788913136e-15,3.3299156712018885e-06,0.04465023
0.525,0.595,4.359504757189825e-08,6.197767993265656e-13,0.41956517
0.305,0.365,4.4656842113077744e-10,4.8311393947841904e-12,0.04465023
0.435,0.495,7.607888505845041e-07,3.658890833690714e-17,0.26105568
0.155,0.215,3.983454122113983e-10,9.981139788913136e-15,0.04465051
0.245,0.305,3.3570636793030967e-16,4.4656842113077744e-10,0.04465023
0.045,0.095,8.972852680661476e-20,5.133167064741428e-07,0.04472127
0.645,0.6950000000000001,1.0,5.0463886626455e-27,0.042444866
0.655,0.6950000000000001,1.0,5.0463886626455e-27,0.04458754
0.025,0.065,0.0005968444747850299,4.204905120575273e-24,0.04464663
0.725,0.795,8.719927791389638e-06,2.0514537361728839e-22,0.044868294
0.795,0.885,2.0514537361728839e-22,3.5587154343375013e-06,0.04456244
0.755,0.8150000000000001,1.168237777360239e-19,3.975256790411663e-10,0.045646418
0.185,0.245,3.322395256046689e-14,3.3570636793030967e-16,0.044650238
0.795,0.865,2.0514537361728839e-22,3.71716488700713e-08,0.04458809
0.615,0.6950000000000001,4.009430995211005e-05,5.0463886626455e-27,0.17159022
0.755,0.8350000000000001,1.168237777360239e-19,6.511565375441619e-13,0.045421507
0.5750000000000001,0.645,3.918430190976652e-32,1.0,0.64797825
0.5750000000000001,0.655,3.918430190976652e-32,1.0,0.58219963
0.795,0.8350000000000001,2.0514537361728839e-22,6.511565375441619e-13,0.04478274
0.525,0.5750000000000001,4.359504757189825e-08,3.918430190976652e-32,0.27430734
0.755,0.795,1.168237777360239e-19,2.0514537361728839e-22,0.045119658
0.6950000000000001,0.755,5.0463886626455e-27,1.168237777360239e-19,0.04469878
0.495,0.5750000000000001,3.658890833690714e-17,3.918430190976652e-32,0.1431484
0.005,0.065,0.0,4.204905120575273e-24,0.044646528
0.005,0.045,0.0,8.972852680661476e-20,0.04465023
