xmin,xmax,xmin_score,xmax_score,iou_score
0.315,0.365,1.0,1.7075792868581635e-07,0.044594593
0.535,0.585,4.598653322318569e-05,7.064365490805358e-05,0.044685155
0.155,0.195,2.191048210919977e-11,0.9999998807907104,0.661919
0.105,0.155,0.08270078152418138,2.191048210919977e-11,0.08168376
0.915,0.955,1.7339972373520145e-06,2.974465118654735e-09,0.043605525
0.665,0.715,9.688938007457182e-07,2.5922958224455783e-10,0.045389034
0.795,0.845,8.541390883465282e-08,2.1521569248950096e-10,0.044650402
0.065,0.105,5.550055690876739e-19,0.08270078152418138,0.04465023
0.755,0.795,3.0193121370867526e-17,8.541390883465282e-08,0.04465023
0.5650000000000001,0.615,7.467828921776098e-16,3.589097422040943e-11,0.044646516
0.715,0.755,2.5922958224455783e-10,3.0193121370867526e-17,0.04465023
0.845,0.885,2.1521569248950096e-10,4.153711847763099e-18,0.04463274
